year,country,dispensers,u5_mr,births_per_year,takeup,effect_on_mr,life_years_per_death,births_per_dispenser_used,deaths_per_dispenser_used,deaths_averted_per_dispenser_used,years_per_dispenser_used,years,gdp_pc,benefits_usd,benefits_op
2014,uganda,2253,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,1627.9899348959998,896.0548,1458768.1955152482,162800621.49581492
2014,malawi,139,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,124.00783807999997,529.5133,65663.79956760645,12400907.817078168
2015,kenya,16415,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4120.400062799999,1489.1196,6135768.49335671,412044126.7212671
2015,uganda,5006,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,3617.2736857919995,862.9346,3121470.621139445,361730985.8890588
2015,malawi,2040,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,1819.9711487999996,539.6054,982066.2597366833,181998934.86934865
2016,kenya,18854,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4732.6239892799995,1554.1261,7355094.4632261675,473267131.59931594
2016,uganda,5803,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,4193.176028495999,752.6966,3156189.3398504416,419321796.06756055
2016,malawi,3773,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,3366.0544825599995,450.5061,1516428.0773256235,336608814.3441434
2017,kenya,18512,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4646.777091839999,1667.4845,7748428.7755982755,464682356.00755996
2017,uganda,5788,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,4182.337214015999,765.2183,3200400.972936059,418237903.7806377
2017,malawi,3773,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,3366.0544825599995,495.7697,1668787.821002426,336608814.3441434
2018,kenya,17632,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4425.88449024,1836.4528,8127927.96457782,442592874.9527495
2018,uganda,5092,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,3679.416222143999,792.1657,2914707.3272060566,367945301.6674166
2018,malawi,3690,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,3292.0066367999993,533.2032,1755308.4731629975,329203955.7195571
2019,kenya,18510,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4646.275063199999,1960.4081,9108595.26872529,464632152.6415263
2019,uganda,5686,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,4108.633275551999,822.0571,3377531.155463777,410867436.22956216
2019,malawi,3764,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,3358.0251980799994,580.8898,1950642.5857076515,335805877.8667786
2020,kenya,18405,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4619.918559599999,1927.6646,8905653.462223908,461996475.9247591
2020,uganda,5630,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,4068.1683681599993,845.7665,3440720.522149394,406820905.02505016
2020,malawi,3757,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,3351.7801990399994,602.5075,2019472.7082730925,335181371.7177171
2021,kenya,18601,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4669.117366319999,2061.3562,9624714.031591402,466916405.7960578
2021,uganda,5719,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,4132.478667408,882.7917,3648117.8680148427,413251999.26079255
2021,malawi,3799,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,3389.250193279999,617.4475,2092684.0587152522,338928408.612086
2022,kenya,18693,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4692.2106837599995,2109.5629,9898513.577443726,469225760.63360626
2022,uganda,5675,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,4100.684811599999,963.0673,3949235.44965862,410072581.8858188
2022,malawi,3657,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,3262.565927039999,604.2698,1971470.060219275,326259855.30255294
2023,kenya,18910,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4746.6807911999995,1952.3046,9266966.743391398,474672825.8482584
2023,uganda,17903,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,12936.486375695999,1002.3091,12966358.016386118,1293661574.1853416
2023,malawi,15945,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,14225.215670399997,602.3436,8568467.617685148,1422535792.3979237
2024,kenya,18871,0.059,3,0.24,0.19,31.1,0.72,0.04248,0.008071199999999999,0.25101431999999996,4736.89123272,1952.3046,9247854.543338925,473693860.21060205
2024,uganda,17851,0.059,8,0.26,0.19,30.99,2.08,0.12272,0.0233168,0.7225876319999999,12898.911818831997,1002.3091,12928696.696112862,1289904080.9240088
2024,malawi,16220,0.064,5,0.47,0.19,31.22,2.3499999999999996,0.15039999999999998,0.028575999999999997,0.8921427199999998,14470.554918399997,602.3436,8716246.143546762,1447069962.5396252
